A_recoverable_norm,E_mode_norm,PiO_mode_norm,alignment_with_negative_Arec,lambda,method,mode,policy,setting,source_visible_norm
0.016939847902615573,5.013677506403062e-06,0.016938606335131872,0.9999999588839394,0.01,IRMV1,1,PiCK,hidden_u_hurts,1.179566679912516
0.0,0.0,0.0,0.0,0.01,IRMV1,2,actual,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,IRMV1,2,Pi00,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,IRMV1,2,PiC0,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,IRMV1,2,Pi0K,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.01,IRMV1,2,PiCK,hidden_u_hurts,1.1180339887572193
0.17753407154173476,7.939601204441087e-06,0.17752616878066166,0.999999999990741,0.01,IRMV1,3,actual,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.01,IRMV1,3,Pi00,hidden_u_hurts,1.0491124338579063
0.17753407154173476,0.0015849334910745408,0.17801200239168818,0.9999638708011521,0.01,IRMV1,3,PiC0,hidden_u_hurts,1.0491124338579063
0.17753407154173476,0.0015355237927689067,0.17708286890407327,0.9999657383919749,0.01,IRMV1,3,Pi0K,hidden_u_hurts,1.0491124338579063
0.17753407154173476,5.950282242205312e-06,0.17753459297247345,0.9999999994426443,0.01,IRMV1,3,PiCK,hidden_u_hurts,1.0491124338579063
0.06589107497652855,5.0567875429457635e-06,0.06588725632460646,0.9999999987343895,0.01,IRMV1,4,actual,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.01,IRMV1,4,Pi00,hidden_u_hurts,1.0178008433018144
0.06589107497652855,0.0006558207144351877,0.06611145192432194,0.9999562073844613,0.01,IRMV1,4,PiC0,hidden_u_hurts,1.0178008433018144
0.06589107497652855,0.000637345673003575,0.0656814970421756,0.9999581444902823,0.01,IRMV1,4,Pi0K,hidden_u_hurts,1.0178008433018144
0.06589107497652855,6.177819596240405e-06,0.06588988665556289,0.9999999957672603,0.01,IRMV1,4,PiCK,hidden_u_hurts,1.0178008433018144
