actual_target_risk_change,blind_fraction,control_score_c,curvature_ratio,exact_optimizer_success,exact_target_risk,exposure_posthoc,intervention_family_posthoc,lambda,local_valid,local_vulnerability,method,metric_min_eigenvalue,relevance_squared,shift_id,shift_index,source_optimum_target_risk,steering,steering_class
-1.0514604578126807e-06,0.0,0.5559779493953934,0.9999444054677209,True,0.26290139260244505,S2,mean,0.0001,True,0.0018054198858430297,L2,1.0711950225474327,0.01629959349989912,S2-mean--1-1.0,26,0.26290244406290286,-1.0528696864116716e-06,helpful
-1.0655249899071961e-06,0.0,0.6476849610374783,0.9999352365831192,True,0.23383734570804737,S2,relation,0.0001,True,0.0011299649760840918,L2,1.0711950225474327,0.006383985296335569,S2-relation-+1-1.0,27,0.23383841123303728,-1.0654809494717946e-06,helpful
4.343900160685976e-07,0.0,0.5275726325388882,0.9999472458024473,True,0.2629028784529188,S2,mean,0.0001,True,0.0018054509184238922,L2,1.0711950225474327,0.016299593499899127,S2-mean-+1-1.0,28,0.26290244406290275,4.3421510530940426e-07,harmful
-7.562215917911175e-07,0.0,0.7834861591082699,0.9999216577391389,True,0.27297038700330667,S2,variance,0.0001,True,0.0016972885581579957,L2,1.0711950225474327,0.014405712038344811,S2-variance-1.0,29,0.27297114322489846,-7.575362217578798e-07,helpful
4.3142966976716934e-10,0.0,0.6944444444444444,0.9999305603777515,True,0.2559536239459129,U,emergent,0.0001,True,0.0011311965341875133,L2,1.0711950225474327,0.006397681385761115,U-emergent-0.25,30,0.25595362351448325,0.0,neutral
4.3142966976716934e-10,0.0,0.6944444444444444,0.9999305603777515,True,0.2559536239459129,U,emergent,0.0001,True,0.0022623930683750267,L2,1.0711950225474327,0.02559072554304446,U-emergent-0.5,31,0.25595362351448325,0.0,neutral
4.3142966976716934e-10,0.0,0.6944444444444444,0.9999305603777515,True,0.2559536239459129,U,emergent,0.0001,True,0.004524786136750053,L2,1.0711950225474327,0.10236290217217783,U-emergent-1.0,32,0.25595362351448325,0.0,neutral
1.4977197944077147e-06,0.0,0.5883393018106385,0.9994121360170495,True,0.2663101147958371,S1,relation,0.001,True,0.0003718521155103181,L2,1.0720950225474326,0.0006917238640540102,S1-relation--1-0.25,0,0.2663086170760427,1.4572411229646597e-06,harmful
-4.014466638113667e-06,0.0,0.5238226477125492,0.9994764703613971,True,0.25711251050863737,S1,mean,0.001,True,0.0006852779542553255,L2,1.0720950225474326,0.0023513876484882934,S1-mean--1-0.25,1,0.2571165249752755,-4.059131893303505e-06,helpful
-2.0773722128053507e-06,0.0,0.5089655861320902,0.9994914211652096,True,0.246355998432657,S1,relation,0.001,True,0.00034850038416367793,L2,1.0720950225474326,0.000607596385055951,S1-relation-+1-0.25,2,0.2463580758048698,-2.123256927277198e-06,helpful
2.061457771818098e-06,0.0,0.4840782484542645,0.9995161624021316,True,0.2571185864330474,S1,mean,0.001,True,0.000685311050873046,L2,1.0720950225474326,0.002351387648488293,S1-mean-+1-0.25,3,0.2571165249752756,2.019458492596401e-06,harmful
-9.9449382062744e-06,0.0,0.8630695322344472,0.9991377145912963,True,0.2673353663554663,S1,variance,0.001,True,0.0007001204280073433,L2,1.0720950225474326,0.002455110819924973,S1-variance-0.25,4,0.26734531129367256,-9.990237064687834e-06,helpful
2.28646110878028e-06,0.0,0.6238688454353158,0.9993766461431767,True,0.277425342950657,S1,relation,0.001,True,0.0007702431569632444,L2,1.0720950225474326,0.0029678852251444803,S1-relation--1-0.5,5,0.27742305648954824,2.248466441616801e-06,harmful
-1.011126820427144e-05,0.0,0.553790362349973,0.9994465435227396,True,0.2605951180894479,S1,mean,0.001,True,0.0013927057768826085,L2,1.0720950225474326,0.009712567316798997,S1-mean--1-0.5,6,0.2606052293576522,-1.0157937187314088e-05,helpful
-4.8637229055348286e-06,0.0,0.4661666223263419,0.9995341724048094,True,0.23751711022429634,S1,relation,0.001,True,0.0006772759382043371,L2,1.0720950225474326,0.002294865393160023,S1-relation-+1-0.5,7,0.23752197394720187,-4.912529658866897e-06,helpful
2.040580615814136e-06,0.0,0.47681422496897224,0.9995234182532062,True,0.260607269938268,S1,mean,0.001,True,0.001392836054905613,L2,1.0720950225474326,0.009712567316799004,S1-mean-+1-0.5,8,0.2606052293576522,1.9992435844856895e-06,harmful
-1.9932985099613276e-05,0.0,0.8630695322344473,0.9991377145912963,True,0.27871706608776226,S1,variance,0.001,True,0.0014002408560146887,L2,1.0720950225474326,0.009820443279699921,S1-variance-0.5,9,0.27873699907286187,-1.99804741293757e-05,helpful
1.8663343583913417e-06,0.0,0.6856600483769424,0.9993149239711494,True,0.30193213920675555,S1,relation,0.001,True,0.0016573506075691733,L2,1.0720950225474326,0.013741337539464145,S1-relation--1-1.0,10,0.30193027287239715,1.8328696659835385e-06,harmful
