adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,3.6471806958441504,5.318054319122444e-15,5.318054319122442e-15,1.042732227393767e-14,cmnist,0.1,VREX,-134.50623246261588,False,2,mechanism_defined_exposed,inf,False
False,0.0,0.0,0.0,9.162165764196478e-16,cmnist,0.0,L2,-93.8525976062157,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.1475514745657654e-16,cmnist,0.001,L2,-94.28288436122376,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,4.440892098500626e-16,cmnist,0.01,L2,-95.64237365008728,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,0.0,cmnist,0.1,L2,-91.20510067793418,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,6.4871389076745855e-16,cmnist,0.001,IRMV1,-93.84539227381163,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.0071136372531035e-15,cmnist,0.01,IRMV1,-93.81564719176014,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,9.026728717081158e-16,cmnist,0.1,IRMV1,-93.95884092301773,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.6118458395459e-15,cmnist,0.001,VREX,-93.8506398075873,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,8.90950963240886e-16,cmnist,0.01,VREX,-93.83306886595047,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.670598436318432e-15,cmnist,0.1,VREX,-93.66210286663198,False,2,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,4.42852729111031e-15,cmnist,0.0,L2,-81.22412500576542,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,4.14279152686623e-15,cmnist,0.001,L2,-81.66005381309837,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,4.591216534394153e-15,cmnist,0.01,L2,-84.06008912700635,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.214932917734013e-15,cmnist,0.1,L2,-84.94341891814778,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.329436963080092e-15,cmnist,0.001,IRMV1,-81.21716125667923,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.114100342831355e-15,cmnist,0.01,IRMV1,-81.19305702835604,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,3.795442806933812e-15,cmnist,0.1,IRMV1,-81.42595175106428,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,3.760492632567536e-15,cmnist,0.001,VREX,-81.22101373810031,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,2.4231434805925587e-15,cmnist,0.01,VREX,-81.19310352091964,False,3,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,2.060555056228674e-15,cmnist,0.1,VREX,-80.92273711347553,False,3,declared_source_target_coupled_correlation,inf,False
False,5.775897356709084,0.0,0.0,9.000864259805227e-15,cmnist,0.0,L2,-78.80380904549776,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,4.826160677206614e-15,cmnist,0.001,L2,-79.22412249118193,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,9.006455821167767e-15,cmnist,0.01,L2,-81.4861673897868,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,8.728247370459997e-15,cmnist,0.1,L2,-82.30518723952332,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,8.22984898849384e-15,cmnist,0.001,IRMV1,-78.79737256815652,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,7.688371804199772e-15,cmnist,0.01,IRMV1,-78.77983275056121,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,6.580843120680096e-15,cmnist,0.1,IRMV1,-79.06221856126507,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,9.03347183812712e-15,cmnist,0.001,VREX,-78.80138035863169,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,8.616496685974741e-15,cmnist,0.01,VREX,-78.77959130888752,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,4.6338289461870605e-15,cmnist,0.1,VREX,-78.56832828278867,False,3,mechanism_defined_hidden,inf,False
False,3.3347158937076364,6.603631980901841e-15,6.6036319809018384e-15,1.1395036898833677e-14,cmnist,0.0,L2,-124.24384335097739,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,1.6183313190906245e-14,1.6183313190906245e-14,2.1375531582201142e-14,cmnist,0.001,L2,-125.20884495817506,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,8.62792045576654e-15,8.627920455766542e-15,1.621251771674142e-14,cmnist,0.01,L2,-130.6682938977769,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,5.439170904197998e-15,5.439170904198e-15,1.5139336370676616e-14,cmnist,0.1,L2,-132.72026388105817,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,1.2031428069754885e-14,1.2031428069754889e-14,2.1488175223901755e-14,cmnist,0.001,IRMV1,-124.2277016591492,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,6.9610730438402494e-15,6.961073043840248e-15,1.5161931286562775e-14,cmnist,0.01,IRMV1,-124.15497887323511,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,5.171861582740696e-15,5.171861582740698e-15,6.110391795636424e-15,cmnist,0.1,IRMV1,-124.13095978921885,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,9.680334369247855e-15,9.680334369247852e-15,1.7924618179484813e-14,cmnist,0.001,VREX,-124.23560794913588,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,4.181320341629722e-15,4.181320341629721e-15,1.4282787931990528e-14,cmnist,0.01,VREX,-124.16171499155098,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,4.47776901899232e-15,4.477769018992319e-15,1.5789944229101365e-14,cmnist,0.1,VREX,-123.4444519389927,False,3,mechanism_defined_exposed,inf,False
False,0.0,0.0,0.0,7.136524878447666e-15,cmnist,0.0,L2,-83.72942561661107,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,5.951606252865399e-17,cmnist,0.001,L2,-84.16631648335311,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,7.133083706335287e-15,cmnist,0.01,L2,-86.67614118490559,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,0.0,cmnist,0.1,L2,-88.7102895181414,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.518440593092986e-16,cmnist,0.001,IRMV1,-83.72138609750517,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,5.226388644077002e-16,cmnist,0.01,IRMV1,-83.6887609373774,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.094111378511516e-15,cmnist,0.1,IRMV1,-83.84222152154746,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,2.862858850034813e-16,cmnist,0.001,VREX,-83.72631877483556,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,4.746770759821962e-16,cmnist,0.01,VREX,-83.69844636760573,False,3,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.1115150814314392e-16,cmnist,0.1,VREX,-83.42826635568974,False,3,irrelevant_source_diversity,inf,False
