method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,derived_valid,required_cells
IRMv1,13,300,0.00025,11,5.965212855714121e-06,44.71335923338492,1.3341008052153293e-07,6.6448550535714804e-06,3.8082473453620633e-06,4.543348828825243e-06,3.0015549735311403e-06,862.618859126156,-0.6015988198260072,4.0,False,6.384087846464152e-15,5.073540807093734e-07,7.609545325883231e-07,True,False,,
IRMv1,13,300,0.001,delta_C,,,,0.0025583605207599534,0.001444640466622244,0.0018929174293404103,0.0009354603583690203,,,,True,,,,True,True,True,"10,00"
IRMv1,13,300,0.001,delta_K,,,,7.340033541530931e-06,4.33760861644412e-06,5.451404991326231e-06,2.311585495259103e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,13,300,0.001,delta_interaction,,,,0.0025533462219463118,0.0014417079231643082,0.0018915394880900905,0.0009290498148154577,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,13,300,0.0005,delta_C,,,,0.001279213035783668,0.0007223259047327459,0.0009465206679880249,0.0004676856886225974,,,,True,,,,True,True,True,"10,00"
IRMv1,13,300,0.0005,delta_K,,,,3.6700166682442258e-06,2.1688042547196988e-06,2.725702416573153e-06,1.1557927090042819e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,13,300,0.0005,delta_interaction,,,,0.0012767059700707682,0.0007208596374758365,0.0009458315653514613,0.0004644805346377287,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,13,300,0.00025,delta_C,,,,0.0006396199409006543,0.000361164590178014,0.0004732776169004222,0.00023384205126615105,,,,True,,,,True,True,True,"10,00"
IRMv1,13,300,0.00025,delta_K,,,,1.8350083092554547e-06,1.0844021138158713e-06,1.3628511894107955e-06,5.778963454719331e-07,,,,False,,,,True,False,False,"01,00"
IRMv1,13,300,0.00025,delta_interaction,,,,0.0006383664848956996,0.0003604314561502079,0.0004729331358080029,0.0002322394960172384,,,,False,,,,True,False,False,"11,10,01,00"
