method,shift_id,lambda,relevance_squared,control_score_c,curvature_ratio,blind_fraction,steering,steering_class,local_vulnerability,actual_target_risk_change,exposure_posthoc,intervention_family_posthoc
L2,S1-mean-+1-0.25,0.01,0.002351387648488293,0.4840782484542645,0.9951831718967945,0.0,2.001744017631921e-05,harmful,0.0006812312617115013,2.4185048514535623e-05,S1,mean
L2,S1-variance-0.25,0.01,0.002455110819924973,0.8630695322344472,0.9914470717474758,0.0,-9.926423446225334e-05,helpful,0.0006946867508856023,-9.477143869385252e-05,S1,variance
L2,S1-relation--1-0.5,0.01,0.0029678852251444803,0.6238688454353158,0.9938123964060284,0.0,2.2827330008911247e-05,harmful,0.0007684947888821965,2.6596886493313043e-05,S1,relation
L2,S1-mean--1-0.5,0.01,0.009712567316798997,0.553790362349973,0.9944952860903105,0.0,-0.00010083422396076849,helpful,0.0013834682000108778,-9.620696853529509e-05,S1,mean
L2,S1-relation-+1-0.5,0.01,0.002294865393160023,0.4661666223263419,0.995371973235947,0.0,-4.929779253217888e-05,helpful,0.0006755029032293802,-4.445631371807757e-05,S1,relation
L2,S1-mean-+1-0.5,0.01,0.009712567316799004,0.47681422496897224,0.9952550017311804,0.0,1.9768432483261576e-05,harmful,0.0013847536039469765,2.3871061932023707e-05,S1,mean
L2,S1-variance-0.5,0.01,0.009820443279699921,0.8630695322344473,0.9914470717474757,0.0,-0.00019852846892450698,helpful,0.0013893735017712066,-0.00019381958301867286,S1,variance
L2,S1-relation--1-1.0,0.01,0.013741337539464145,0.6856600483769424,0.993201328301948,0.0,1.9184197494555186e-05,harmful,0.0016534356849162645,2.2504228868958087e-05,S1,relation
L2,S1-mean--1-1.0,0.01,0.04376253683272921,0.6226742544936366,0.993815909957023,0.0,-0.00028273423939904397,helpful,0.0029350301526798583,-0.00027757996056676504,S1,mean
L2,S1-relation-+1-1.0,0.01,0.008357178883588494,0.37903153301099995,0.9962336989010135,0.0,-0.00012506604758762545,helpful,0.0012882581332995164,-0.00011960217155360109,S1,relation
L2,S1-mean-+1-1.0,0.01,0.043762536832729265,0.4860028510130237,0.9951647877575546,0.0,-4.1528926510983826e-05,helpful,0.0029398755522576756,-3.742389963234949e-05,S1,mean
L2,S1-variance-1.0,0.01,0.03928177311879963,0.8630695322344473,0.9914470717474758,0.0,-0.0003970569378490137,helpful,0.002778747003542412,-0.0003919158716680915,S1,variance
L2,S2-relation--1-0.25,0.01,0.0005652361647570547,0.7211412494579069,0.9928462431287417,0.0,2.3401590113770832e-05,harmful,0.0003363190904920525,2.759551345432598e-05,S2,relation
L2,S2-mean--1-0.25,0.01,0.0008779851951268903,0.5071493165991059,0.9949551722347133,0.0,-2.035583843404532e-05,helpful,0.0004169624762008206,-1.6036164131261188e-05,S2,mean
L2,S2-relation-+1-0.25,0.01,0.0004927389512466441,0.6965890713945313,0.9930893414436094,0.0,-2.466217220791999e-05,helpful,0.0003141014962929374,-2.0301281154933015e-05,S2,relation
L2,S2-mean-+1-0.25,0.01,0.000877985195126891,0.4989096574808727,0.9950369986627353,0.0,1.649530577071366e-05,harmful,0.0004171686095448005,2.073333982122172e-05,S2,mean
