checkpoint,gradient_norm,hessian_top_eigenvalue,hessian_trace_estimate,hutchinson_probes,method,random_direction_max_delta,random_direction_mean_delta,sam_sharpness_delta,seed,sharpness_rho,source_loss,variant
500,0.3385836443097766,4.083934258577543,17.82169611719548,4,CORAL,0.00013372302055358887,7.326900959014893e-05,0.01825958490371704,12,0.05,0.31325265765190125,CORAL_GAMMA1_SOURCE_ONLY
500,0.2875455007747748,0.3069178505083299,7.006365242593648,4,FISHR,3.4689903259277344e-05,-5.003809928894043e-05,0.0028654932975769043,12,0.01,0.6711118221282959,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.2875455007747748,0.3069178505083299,7.006365242593648,4,FISHR,3.4689903259277344e-05,-5.003809928894043e-05,0.01421886682510376,12,0.05,0.6711118221282959,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.34415592023264063,4.176993625470162,18.69902633115172,4,MLDG,0.0001240372657775879,4.0784478187561035e-05,0.003487318754196167,12,0.01,0.31247860193252563,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.34415592023264063,4.176993625470162,18.69902633115172,4,MLDG,0.0001240372657775879,4.0784478187561035e-05,0.018480688333511353,12,0.05,0.31247860193252563,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.2759117020568864,2.7658672696329996,13.286429598428906,4,SPECTRAL_NORM_REG,9.143352508544922e-05,4.5768916606903076e-05,0.002772986888885498,12,0.01,0.3118151128292084,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.2759117020568864,2.7658672696329996,13.286429598428906,4,SPECTRAL_NORM_REG,9.143352508544922e-05,4.5768916606903076e-05,0.014464139938354492,12,0.05,0.3118151128292084,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.21713274942612604,1.9674042528095237,7.248534935018592,4,SPECTRAL_REG_2024,5.97834587097168e-05,4.044920206069946e-05,0.0021935701370239258,12,0.01,0.31237339973449707,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.21713274942612604,1.9674042528095237,7.248534935018592,4,SPECTRAL_REG_2024,5.97834587097168e-05,4.044920206069946e-05,0.011418670415878296,12,0.05,0.31237339973449707,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.23801021218831306,3.602790945065653,13.43553903082153,4,SVB_ORTHDNN,3.948807716369629e-05,-7.458031177520752e-06,0.0024312734603881836,12,0.01,0.3343961536884308,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.23801021218831306,3.602790945065653,13.43553903082153,4,SVB_ORTHDNN,3.948807716369629e-05,-7.458031177520752e-06,0.013145774602890015,12,0.05,0.3343961536884308,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.2561162282485699,3.4183195968163513,9.522652797538711,4,STABLE_RANK_NORM,6.964802742004395e-05,-1.3783574104309082e-05,0.0026060640811920166,12,0.01,0.32329261302948,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.2561162282485699,3.4183195968163513,9.522652797538711,4,STABLE_RANK_NORM,6.964802742004395e-05,-1.3783574104309082e-05,0.014238059520721436,12,0.05,0.32329261302948,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.22379181708827026,1.7649137253488065,8.79982717198395,4,SAM,8.869171142578125e-05,3.162771463394165e-05,0.0022559165954589844,12,0.01,0.31403762102127075,SAM_RHO0P05_COMMON_ADAM
500,0.22379181708827026,1.7649137253488065,8.79982717198395,4,SAM,8.869171142578125e-05,3.162771463394165e-05,0.011508733034133911,12,0.05,0.31403762102127075,SAM_RHO0P05_COMMON_ADAM
500,0.26737276088184453,2.147575703640913,9.24804761633979,4,ASAM,8.282065391540527e-05,2.8595328330993652e-05,0.0027026236057281494,12,0.01,0.3130250871181488,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.26737276088184453,2.147575703640913,9.24804761633979,4,ASAM,8.282065391540527e-05,2.8595328330993652e-05,0.014137625694274902,12,0.05,0.3130250871181488,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.29219641646169653,4.077277926124476,12.827219886176191,4,ERM,4.4286251068115234e-05,7.800757884979248e-06,0.0029491782188415527,13,0.01,0.3597717881202698,ERM_CANONICAL
500,0.29219641646169653,4.077277926124476,12.827219886176191,4,ERM,4.4286251068115234e-05,7.800757884979248e-06,0.015189588069915771,13,0.05,0.3597717881202698,ERM_CANONICAL
500,1.0764172890980437,4.5035455801004485,4.78451588122104,4,IRMv1,0.0003466010093688965,-0.00011433660984039307,0.010916709899902344,13,0.01,0.6768209934234619,IRMv1_CANONICAL
500,1.0764172890980437,4.5035455801004485,4.78451588122104,4,IRMv1,0.0003466010093688965,-0.00011433660984039307,0.05755305290222168,13,0.05,0.6768209934234619,IRMv1_CANONICAL
500,0.5151819890416662,1.4252068688059418,-4.848484688093038,4,VREX,5.608797073364258e-05,-1.1742115020751953e-05,0.005189359188079834,13,0.01,0.6768317818641663,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.5151819890416662,1.4252068688059418,-4.848484688093038,4,VREX,5.608797073364258e-05,-1.1742115020751953e-05,0.026745736598968506,13,0.05,0.6768317818641663,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.29196487422635264,4.111177285266924,13.710049065070448,4,CORAL,6.732344627380371e-05,3.91155481338501e-05,0.0029300153255462646,13,0.01,0.3586568534374237,CORAL_GAMMA1_SOURCE_ONLY
500,0.29196487422635264,4.111177285266924,13.710049065070448,4,CORAL,6.732344627380371e-05,3.91155481338501e-05,0.014970153570175171,13,0.05,0.3586568534374237,CORAL_GAMMA1_SOURCE_ONLY
500,0.2766350757765781,0.017460409804810242,-2.2322300228036456,4,FISHR,0.00012725591659545898,4.887580871582031e-06,0.002763509750366211,13,0.01,0.6818461418151855,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.2766350757765781,0.017460409804810242,-2.2322300228036456,4,FISHR,0.00012725591659545898,4.887580871582031e-06,0.013777494430541992,13,0.05,0.6818461418151855,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.3040902195815525,4.066168059889934,11.704749469303028,4,MLDG,4.404783248901367e-05,4.120171070098877e-06,0.003039538860321045,13,0.01,0.35057902336120605,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.3040902195815525,4.066168059889934,11.704749469303028,4,MLDG,4.404783248901367e-05,4.120171070098877e-06,0.015525102615356445,13,0.05,0.35057902336120605,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.2393745824095921,2.9833212481258355,9.230510045235246,4,SPECTRAL_NORM_REG,6.866455078125e-05,3.281235694885254e-05,0.002402573823928833,13,0.01,0.35969990491867065,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.2393745824095921,2.9833212481258355,9.230510045235246,4,SPECTRAL_NORM_REG,6.866455078125e-05,3.281235694885254e-05,0.012137621641159058,13,0.05,0.35969990491867065,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.18901038479493676,2.263044387577392,5.82389677044283,4,SPECTRAL_REG_2024,3.522634506225586e-05,1.4096498489379883e-05,0.0019026994705200195,13,0.01,0.3634423613548279,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.18901038479493676,2.263044387577392,5.82389677044283,4,SPECTRAL_REG_2024,3.522634506225586e-05,1.4096498489379883e-05,0.009696930646896362,13,0.05,0.3634423613548279,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.18901776599686188,3.289167421742747,5.520555522554503,4,SVB_ORTHDNN,3.159046173095703e-05,8.724629878997803e-06,0.0019439160823822021,13,0.01,0.3793764114379883,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.18901776599686188,3.289167421742747,5.520555522554503,4,SVB_ORTHDNN,3.159046173095703e-05,8.724629878997803e-06,0.011076688766479492,13,0.05,0.3793764114379883,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.21239377780620305,3.7072595562702384,13.142768349266774,4,STABLE_RANK_NORM,7.24494457244873e-05,2.648681402206421e-05,0.0021629631519317627,13,0.01,0.37022700905799866,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.21239377780620305,3.7072595562702384,13.142768349266774,4,STABLE_RANK_NORM,7.24494457244873e-05,2.648681402206421e-05,0.011691808700561523,13,0.05,0.37022700905799866,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.1938196786505306,1.759677547681083,5.329571098802916,4,SAM,6.61313533782959e-05,2.679973840713501e-05,0.0019466578960418701,13,0.01,0.35618606209754944,SAM_RHO0P05_COMMON_ADAM
500,0.1938196786505306,1.759677547681083,5.329571098802916,4,SAM,6.61313533782959e-05,2.679973840713501e-05,0.009793072938919067,13,0.05,0.35618606209754944,SAM_RHO0P05_COMMON_ADAM
500,0.22363354989611017,2.1677910252761885,7.267779618363343,4,ASAM,3.612041473388672e-05,7.0035457611083984e-06,0.0022345781326293945,13,0.01,0.35690242052078247,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.22363354989611017,2.1677910252761885,7.267779618363343,4,ASAM,3.612041473388672e-05,7.0035457611083984e-06,0.011102467775344849,13,0.05,0.35690242052078247,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.419101822629179,4.163586748156972,24.020104926115756,4,ERM,0.0002664923667907715,-5.5029988288879395e-05,0.004250258207321167,14,0.01,0.4860810339450836,ERM_CANONICAL
500,0.419101822629179,4.163586748156972,24.020104926115756,4,ERM,0.0002664923667907715,-5.5029988288879395e-05,0.02197369933128357,14,0.05,0.4860810339450836,ERM_CANONICAL
500,0.746941474221703,4.28358048515792,11.479135501694003,4,IRMv1,0.0002498030662536621,9.179115295410156e-06,0.007546067237854004,14,0.01,0.690030574798584,IRMv1_CANONICAL
500,0.746941474221703,4.28358048515792,11.479135501694003,4,IRMv1,0.0002498030662536621,9.179115295410156e-06,0.03945326805114746,14,0.05,0.690030574798584,IRMv1_CANONICAL
500,0.3462386238238914,1.5268449649231552,3.7468577525270454,4,VREX,0.0001392364501953125,-8.970499038696289e-06,0.003489851951599121,14,0.01,0.6889022588729858,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.3462386238238914,1.5268449649231552,3.7468577525270454,4,VREX,0.0001392364501953125,-8.970499038696289e-06,0.01801365613937378,14,0.05,0.6889022588729858,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.39759463613746426,3.6020836634007947,20.014518159270303,4,CORAL,0.0002606809139251709,-4.320591688156128e-05,0.004003316164016724,14,0.01,0.485700786113739,CORAL_GAMMA1_SOURCE_ONLY
500,0.39759463613746426,3.6020836634007947,20.014518159270303,4,CORAL,0.0002606809139251709,-4.320591688156128e-05,0.020905733108520508,14,0.05,0.485700786113739,CORAL_GAMMA1_SOURCE_ONLY
500,0.195889044986218,0.4243280964168438,2.6870379737233607,4,FISHR,8.022785186767578e-05,-2.8625130653381348e-05,0.0019516944885253906,14,0.01,0.684285044670105,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.195889044986218,0.4243280964168438,2.6870379737233607,4,FISHR,8.022785186767578e-05,-2.8625130653381348e-05,0.009620845317840576,14,0.05,0.684285044670105,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.4429421542907665,3.9470389426078905,26.16508250903309,4,MLDG,0.00030240416526794434,-3.9361417293548584e-05,0.004496365785598755,14,0.01,0.48207518458366394,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.4429421542907665,3.9470389426078905,26.16508250903309,4,MLDG,0.00030240416526794434,-3.9361417293548584e-05,0.023876577615737915,14,0.05,0.48207518458366394,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.3020475727630832,3.0714688172075597,15.81775997248483,4,SPECTRAL_NORM_REG,0.00016891956329345703,-2.0772218704223633e-05,0.003098428249359131,14,0.01,0.48362934589385986,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.3020475727630832,3.0714688172075597,15.81775997248483,4,SPECTRAL_NORM_REG,0.00016891956329345703,-2.0772218704223633e-05,0.01652681827545166,14,0.05,0.48362934589385986,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.2469107271159268,2.1984037747030514,12.55927422982478,4,SPECTRAL_REG_2024,0.00011992454528808594,-2.6226043701171875e-05,0.0025241076946258545,14,0.01,0.4889685809612274,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.2469107271159268,2.1984037747030514,12.55927422982478,4,SPECTRAL_REG_2024,0.00011992454528808594,-2.6226043701171875e-05,0.013564258813858032,14,0.05,0.4889685809612274,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.2493969126948465,3.5660419835429193,7.889581500118928,4,SVB_ORTHDNN,9.441375732421875e-05,3.1441450119018555e-05,0.0026177167892456055,14,0.01,0.5013710856437683,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.2493969126948465,3.5660419835429193,7.889581500118928,4,SVB_ORTHDNN,9.441375732421875e-05,3.1441450119018555e-05,0.015459060668945312,14,0.05,0.5013710856437683,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.29117354510458554,4.38797565835238,22.088768175624438,4,STABLE_RANK_NORM,0.0001169443130493164,-5.034357309341431e-05,0.0028793811798095703,14,0.01,0.4991915822029114,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.29117354510458554,4.38797565835238,22.088768175624438,4,STABLE_RANK_NORM,0.0001169443130493164,-5.034357309341431e-05,0.014953136444091797,14,0.05,0.4991915822029114,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.25605484700422937,1.8654561751825016,11.498891134871227,4,SAM,0.0001359879970550537,-3.0703842639923096e-05,0.0026044249534606934,14,0.01,0.4895898699760437,SAM_RHO0P05_COMMON_ADAM
500,0.25605484700422937,1.8654561751825016,11.498891134871227,4,SAM,0.0001359879970550537,-3.0703842639923096e-05,0.013462722301483154,14,0.05,0.4895898699760437,SAM_RHO0P05_COMMON_ADAM
500,0.3082294466824208,2.1346977183811418,13.057398074029981,4,ASAM,0.00017365813255310059,-5.7384371757507324e-05,0.0031165480613708496,14,0.01,0.48964470624923706,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.3082294466824208,2.1346977183811418,13.057398074029981,4,ASAM,0.00017365813255310059,-5.7384371757507324e-05,0.016256630420684814,14,0.05,0.48964470624923706,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
