method,lambda,source_design,valid,norm_z0,pi_O_operator_norm,A_irreducible_operator_norm,A_recoverable_operator_norm,E_operator_norm,decomposition_residual,affine_regret,information_floor,total_excess,min_local_metric_eigenvalue,condition_number,fd_error_max,fd_errors,factorization_residual,spectral_slack_min_eigenvalue,seed,status
VREX,0.1,mechanism_defined_hidden,True,0.0019415896063431615,2.2216629694074372,6.7373805017029245,9.528094880376322,10.096129120050877,0.0,72.91770458614049,22.696148012363373,50.221556573777114,0.0022611337890773276,12495.74911049852,3.464539276382779e-06,"[3.464539276382779e-06, 8.661352749051432e-07, 2.1653484056157512e-07]",0.0,-100.4292793432221,1,PASS
ERM,0.0,mechanism_defined_exposed,True,0.0,3.88407192824528,3.889828446291121,11.002096288099136,12.191180880708599,9.8368457968434e-16,81.18997926755603,7.5653826707877965,73.62459659676823,0.002260710454978657,12498.57458843543,1.4581575506352728e-05,"[1.4581575506352728e-05, 3.645376140445014e-06, 9.113448116697794e-07]",0.0,-147.24919319353643,1,PASS
L2,0.001,mechanism_defined_exposed,True,0.1701130944338808,3.9906283459291223,3.889828446291121,11.002096288099136,12.263967067453102,9.8368457968434e-16,82.22673975097428,7.5653826707877965,74.66135708018648,0.0032607104549786598,8665.798032224087,1.3198811407032269e-05,"[1.3198811407032269e-05, 3.2996890502317493e-06, 8.249226399693875e-07]",0.0,-148.97090094007996,1,PASS
L2,0.01,mechanism_defined_exposed,True,0.7116707603324699,4.386842160512843,3.889828446291121,11.002096288099136,12.559454034488951,9.8368457968434e-16,86.5245789598868,7.5653826707877965,78.959196289099,0.012260710454978663,2305.385022197374,8.51583758077874e-06,"[8.51583758077874e-06, 2.1289542501870792e-06, 5.322393078641943e-07]",0.0,-156.0948795169509,1,PASS
L2,0.1,mechanism_defined_exposed,True,1.333009089021607,4.654806556743387,3.889828446291121,11.002096288099136,12.731959093569136,9.8368457968434e-16,90.02941232938213,7.5653826707877965,82.46402965859433,0.1022607104549787,277.2879057679775,3.6056561036178514e-06,"[3.6056561036178514e-06, 9.014126055830689e-07, 2.2535311949596228e-07]",0.0,-160.30098053994845,1,PASS
IRMV1,0.001,mechanism_defined_exposed,True,0.00035705448082928816,3.8827629036388895,3.889828446291121,11.002096288099136,12.190252776629045,9.8368457968434e-16,81.18231524861451,7.5653826707877965,73.61693257782672,0.0022608491764281227,13026.236757631905,1.4590283262308021e-05,"[1.4590283262308021e-05, 3.647552903286999e-06, 9.118876107615191e-07]",0.0,-147.22726868661297,1,PASS
IRMV1,0.01,mechanism_defined_exposed,True,0.003471263104937664,3.8706301222586337,3.889828446291121,11.002096288099136,12.184638929315545,9.8368457968434e-16,81.14367761034842,7.5653826707877965,73.57829493956062,0.0022609800113280033,17911.803876969025,1.4663796473112473e-05,"[1.4663796473112473e-05, 3.665930028351551e-06, 9.16482617696289e-07]",0.0,-147.09817025528574,1,PASS
IRMV1,0.1,mechanism_defined_exposed,True,0.03337114056074869,3.795497130184131,3.889828446291121,11.002096288099136,12.156903871196182,9.8368457968434e-16,81.06233562899007,7.5653826707877965,73.49695295820227,0.0022530710720270537,69002.948817527,1.5146814450021021e-05,"[1.5146814450021021e-05, 3.7866721190775326e-06, 9.466677914356615e-07]",0.0,-146.50086721278015,1,PASS
VREX,0.001,mechanism_defined_exposed,True,1.9557107614850654e-05,3.883695147257761,3.889828446291121,11.002096288099136,12.191033971874148,9.8368457968434e-16,81.1884148986262,7.5653826707877965,73.62303222783841,0.0022607147306241446,12498.546000238473,1.457506430460283e-05,"[1.457506430460283e-05, 3.6437486183625575e-06, 9.109376193394127e-07]",0.0,-147.24585252310933,1,PASS
VREX,0.01,mechanism_defined_exposed,True,0.0001954415592165293,3.8803121175663335,3.889828446291121,11.002096288099136,12.189714192405269,9.8368457968434e-16,81.17436249423545,7.5653826707877965,73.60897982344765,0.0022607531725969496,12498.289012405401,1.4516840686302534e-05,"[1.4516840686302534e-05, 3.6291931546443154e-06, 9.072982361876504e-07]",0.0,-147.21584284319118,1,PASS
VREX,0.1,mechanism_defined_exposed,True,0.0019415896063431615,3.847260695081995,3.889828446291121,11.002096288099136,12.176749697239455,9.8368457968434e-16,81.03645307104699,7.5653826707877965,73.4710704002592,0.0022611337890773276,12495.74911049852,1.3969687323391427e-05,"[1.3969687323391427e-05, 3.492406286892584e-06, 8.731013227008447e-07]",0.0,-146.92122090738656,1,PASS
ERM,0.0,irrelevant_source_diversity,True,0.0,3.3478676691046663,6.7373805017029245,9.528094880376322,10.332766834446613,0.0,75.35333957936778,22.696148012363373,52.65719156700441,0.002260710454978657,12498.57458843543,7.357267329603707e-05,"[2.555375297619998e-06, 2.4928113638396286e-05, 7.357267329603707e-05]",0.0,-105.31438313400878,1,PASS
L2,0.001,irrelevant_source_diversity,True,0.1701130944338808,3.222387029825252,6.7373805017029245,9.528094880376322,10.362309986649745,0.0,75.86638687204274,22.696148012363373,53.170238859679365,0.0032607104549786598,8665.798032224087,7.175639937103351e-05,"[2.419982676563107e-06, 2.432146422503824e-05, 7.175639937103351e-05]",0.0,-105.8392307626124,1,PASS
L2,0.01,irrelevant_source_diversity,True,0.7116707603324699,3.122931700503743,6.7373805017029245,9.528094880376322,10.508251260636584,0.0,78.18018159833163,22.696148012363373,55.484033585968255,0.012260710454978663,2305.385022197374,6.769636579836738e-05,"[1.7805856438647523e-06, 2.2755334936305705e-05, 6.769636579836738e-05]",0.0,-108.56791518019993,1,PASS
