seed,source_design,method,lambda,step,direction,fd_norm,ift_norm,cosine,relative_error,valid
0,mechanism_defined_exposed,ERM,0.0,0.0005,rho_hidden,3.17726265660859,3.1772489212391486,0.9999999999972959,4.908839330855856e-06,True
0,mechanism_defined_exposed,ERM,0.0,0.00025,rho_source_1,1.588624889850161,1.5886244606194047,0.9999999999999892,3.068030661410775e-07,True
0,mechanism_defined_exposed,ERM,0.0,0.00025,rho_source_2,1.5886248898407114,1.5886244606197386,0.9999999999999895,3.0679842281781514e-07,True
0,mechanism_defined_exposed,ERM,0.0,0.00025,rho_hidden,3.177252355062194,3.1772489212391486,0.999999999999831,1.2272071851459817e-06,True
0,mechanism_defined_exposed,L2,0.001,0.001,rho_source_1,1.685874465988259,1.6858675660569167,0.9999999999975028,4.6631935563875265e-06,True
0,mechanism_defined_exposed,L2,0.001,0.001,rho_source_2,1.6858744659880363,1.6858675660572993,0.999999999997503,4.663193000548385e-06,True
0,mechanism_defined_exposed,L2,0.001,0.001,rho_hidden,3.3717903325509035,3.371735132114215,0.9999999999600435,1.865287615879489e-05,True
0,mechanism_defined_exposed,L2,0.001,0.0005,rho_source_1,1.6858692910365018,1.6858675660569167,0.9999999999998439,1.1657983552115795e-06,True
0,mechanism_defined_exposed,L2,0.001,0.0005,rho_source_2,1.6858692910348732,1.6858675660572993,0.9999999999998442,1.1657970196045052e-06,True
0,mechanism_defined_exposed,L2,0.001,0.0005,rho_hidden,3.371748931984171,3.371735132114215,0.9999999999975028,4.663194508911262e-06,True
0,mechanism_defined_exposed,L2,0.001,0.00025,rho_source_1,1.6858679973053035,1.6858675660569167,0.9999999999999901,2.9145056048580585e-07,True
0,mechanism_defined_exposed,L2,0.001,0.00025,rho_source_2,1.6858679972940585,1.6858675660572993,0.9999999999999901,2.9144510063279004e-07,True
0,mechanism_defined_exposed,L2,0.001,0.00025,rho_hidden,3.3717385820618584,3.371735132114215,0.9999999999998438,1.1657956287839378e-06,True
0,mechanism_defined_exposed,L2,0.01,0.001,rho_source_1,2.00760896112588,2.0076024488912294,0.9999999999979627,3.820488662242277e-06,True
0,mechanism_defined_exposed,L2,0.01,0.001,rho_source_2,2.007608961126778,2.007602448891742,0.9999999999979627,3.8204887129940955e-06,True
