adaptive_condition_holds,alpha,audit_mode,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,VREX,-12.07804412050993,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.734723475976807e-18,cmnist_irmv1_source_only,0.01,VREX,-12.077520851669476,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.3081606534231737e-19,cmnist_irmv1_source_only,0.1,VREX,-12.072373796693126,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.488232680499591,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.512309332721172,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.503404620803352,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.220256716402105,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,IRMV1,-12.48817330434411,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,5.421010862427522e-20,cmnist_irmv1_source_only,0.01,IRMV1,-12.4876453679947,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.1,IRMV1,-12.482912232561445,False,8,source_only_common_projection_irmv1,inf,False
