A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_change_operator_norm,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,Pi_operator_norm,audit_mode,baseline_E_operator_norm,baseline_Pi_operator_norm,baseline_total_h_condition,baseline_z0_norm,common_base_attribution_status,lambda,method,observed_total_b_norm,observed_total_h_condition,projection_dimension,representation_method,seed,setting,z0_norm
0.0,2.8173326941129253,True,-4.505910940144631e-05,3.532029523961038,True,0.9641842473561013,1.5864503534790155,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,L2,1.582379579644229,309.1244205299682,64,IRMv1,2,source_only_common_projection_irmv1,0.06153599003598114
0.0,2.8173326941129253,True,-0.009205032399556945,3.5228695506708827,True,0.9081635458536892,0.7324538326447405,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,L2,1.5943232651423056,31.819270234080523,64,IRMv1,2,source_only_common_projection_irmv1,0.09940455917110691
0.0,2.8173326941129253,True,-7.919988612936635e-06,3.5320666630818267,True,1.0004357690817092,12.666398393997968,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,IRMV1,1.5720416623458495,1252589.554649706,64,IRMv1,2,source_only_common_projection_irmv1,4.048322199744929e-06
0.0,2.8173326941129253,True,-0.0007110809351993375,3.5313635021352403,True,0.9990574864019743,12.640661279974063,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,IRMV1,1.6352422990134818,1364235.3040997726,64,IRMv1,2,source_only_common_projection_irmv1,0.00039950544239992884
0.0,2.8173326941129253,True,-8.584328262450924e-06,3.532065998742177,True,1.0004374550675972,12.666466494857563,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,VREX,1.5714218847339296,1251668.0536045658,64,IRMv1,2,source_only_common_projection_irmv1,4.099300766273697e-06
0.0,2.8173326941129253,True,-8.572360603498197e-05,3.5319888594644047,True,1.0003172273389738,12.664604735047803,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,VREX,1.571407752662348,1251742.5178203732,64,IRMv1,2,source_only_common_projection_irmv1,4.0988684687023286e-05
0.0,2.8173326941129253,True,-0.000845317498165965,3.5312292655722737,True,0.9991767660361451,12.646776615793687,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,VREX,1.5713604649656405,1252487.196876675,64,IRMv1,2,source_only_common_projection_irmv1,0.00040945516090317493
0.0,3.139453958867449,True,0.0,3.788726704943546,True,1.0339407037318866,157.49129440926893,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,157.49129440926893,31502261.91602637,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.0,L2,1.1776019006858964,31502261.91602637,64,ERM,3,source_only_common_projection_erm,0.0
0.0,3.139453958867449,True,-0.011590638796856734,3.777136066146689,True,0.9626844732125317,6.2622401497592,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,157.49129440926893,31502261.91602637,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,L2,1.1761562324910881,3413.497186277227,64,ERM,3,source_only_common_projection_erm,0.056181754450733444
0.0,3.139453958867449,True,-0.033015329856060927,3.755711375087485,True,0.8390197616767368,3.1944295822892648,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,157.49129440926893,31502261.91602637,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,L2,1.1735007591255382,342.2829913037885,64,ERM,3,source_only_common_projection_erm,0.07129010824146492
