A_target_posthoc_only,E00_operator_norm,E0K_operator_norm,EC0_operator_norm,ECK_operator_norm,E_change_operator_norm,O_Pi_source_images_labels_only,Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,audit_mode,common_base_attribution_status,common_base_kind,direction,filtering_norm,interaction_norm,lambda,method,projection_dimension,representation_method,seed,sensing_norm,setting,symmetric_identity_residual
True,3.788726704943546,NA,NA,3.788635598631627,-9.110631191866503e-05,True,1.0339407037318866,NA,NA,1.0337744008076952,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,VREX,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.788726704943546,NA,NA,3.787825386976471,-0.0009013179670747107,True,1.0339407037318866,NA,NA,1.0323374274324293,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,VREX,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.5350199446707813,NA,NA,3.5350199446707813,0.0,True,0.9951293848386034,NA,NA,0.9951293848386034,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,neutral,NA,NA,0.0,L2,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
True,3.5350199446707813,NA,NA,3.5350697217506677,4.9777079886403897e-05,True,0.9951293848386034,NA,NA,0.975306774765221,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,hurts,NA,NA,0.001,L2,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
True,3.5350199446707813,NA,NA,3.528101594157686,-0.006918350513095195,True,0.9951293848386034,NA,NA,0.9455579443429771,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,L2,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
True,3.5350199446707813,NA,NA,3.4880519075012977,-0.04696803716948361,True,0.9951293848386034,NA,NA,0.8676364196569345,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,L2,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
True,3.5350199446707813,NA,NA,3.535011933752057,-8.010918724377092e-06,True,0.9951293848386034,NA,NA,0.9951145423329274,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,IRMV1,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
True,3.5350199446707813,NA,NA,3.534940715766388,-7.922890439315822e-05,True,0.9951293848386034,NA,NA,0.9949822219418876,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,IRMV1,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
True,3.5350199446707813,NA,NA,3.5343030363406456,-0.0007169083301357126,True,0.9951293848386034,NA,NA,0.993771048982022,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,IRMV1,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
True,3.5350199446707813,NA,NA,3.535011456230893,-8.488439888321153e-06,True,0.9951293848386034,NA,NA,0.9951163331885721,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,64,IRMv1,3,NA,source_only_common_projection_irmv1,NA
