method,seed,semantic_direction,alpha,local_response_acc_slope,local_response_loss_slope,finite_accuracy,finite_loss,accuracy_change,loss_change,base_accuracy,base_loss,target_posthoc,source_only_geometry
Full-BIRM (Official),10,source_label_noise,0.1,-0.6445312500000078,0.4643016443411363,0.592578125,0.6702726234445526,-0.06445312500000011,0.04643016443411385,0.6570312500000001,0.6238424590104388,,True
LoRA-BIRM (Official),10,source_color_common,0.02,0.04005097002815483,0.09044713072827726,0.6367385194005629,0.6004052414947811,0.0008010194005628746,0.0018089426145653231,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_color_common,0.05,0.04005097002815483,0.09044713072827726,0.6379400485014073,0.6031186554166293,0.002002548501407242,0.00452235653641353,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_color_common,0.1,0.04005097002815483,0.09044713072827726,0.6399425970028144,0.607641011953043,0.004005097002814373,0.00904471307282717,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_color_contrast,0.02,-5.551115123125783e-15,0.0,0.6359374999999998,0.5985962988802157,-2.220446049250313e-16,-1.1102230246251565e-16,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_color_contrast,0.05,-5.551115123125783e-15,0.0,0.6359374999999999,0.5985962988802158,-1.1102230246251565e-16,0.0,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_color_contrast,0.1,-5.551115123125783e-15,0.0,0.6359375,0.5985962988802157,0.0,-1.1102230246251565e-16,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_label_noise,0.02,-0.6230468750000107,0.5232010792255992,0.6234765624999999,0.6090603204647278,-0.012460937500000102,0.010464021584511984,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_label_noise,0.05,-0.6230468750000107,0.5232010792255992,0.6047851562500001,0.6247563528414958,-0.031152343749999978,0.02616005396127996,0.6359375,0.5985962988802158,,True
LoRA-BIRM (Official),10,source_label_noise,0.1,-0.6230468750000107,0.5232010792255992,0.5736328125000001,0.6509164068027757,-0.062304687499999956,0.05232010792255992,0.6359375,0.5985962988802158,,True
ERM,11,source_color_common,0.02,-0.6919150339344871,1.0248257267095688,0.8340132618213102,0.40381347174393173,-0.013838300678689963,0.020496514534191268,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_color_common,0.05,-0.6919150339344871,1.0248257267095688,0.8132558108032754,0.43455824354521877,-0.0345957516967248,0.05124128633547831,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_color_common,0.1,-0.6919150339344871,1.0248257267095688,0.7786600591065507,0.4857995298806972,-0.06919150339344948,0.10248257267095673,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_color_contrast,0.02,0.0,-2.7755575615628914e-15,0.8478515625,0.3833169572097403,-1.1102230246251565e-16,-1.6653345369377348e-16,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_color_contrast,0.05,0.0,-2.7755575615628914e-15,0.8478515625,0.38331695720974035,-1.1102230246251565e-16,-1.1102230246251565e-16,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_color_contrast,0.1,0.0,-2.7755575615628914e-15,0.8478515624999998,0.38331695720974046,-3.3306690738754696e-16,0.0,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_label_noise,0.02,-0.021484375000008216,0.358822682937987,0.847421875,0.39049341086850015,-0.0004296875000001643,0.007176453658759685,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_label_noise,0.05,-0.021484375000008216,0.358822682937987,0.8467773437499999,0.4012580913566398,-0.0010742187500002442,0.01794113414689935,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
ERM,11,source_label_noise,0.1,-0.021484375000008216,0.358822682937987,0.845703125,0.4191992255035393,-0.0021484375000001554,0.035882268293798814,0.8478515625000002,0.38331695720974046,0.1089999973773956,True
CORAL,11,source_color_common,0.02,-0.6932961018664974,1.0225381798423416,0.83418095296267,0.4037985894781115,-0.013865922037330058,0.020450763596846666,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_color_common,0.05,-0.6932961018664974,1.0225381798423416,0.813382069906675,0.43447473487338173,-0.034664805093325035,0.051126908992116915,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_color_common,0.1,-0.6932961018664974,1.0225381798423416,0.7787172648133502,0.48560164386549853,-0.06932961018664985,0.10225381798423372,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_color_contrast,0.02,5.551115123125783e-15,-5.551115123125783e-15,0.8480468749999999,0.38334782588126476,-2.220446049250313e-16,-5.551115123125783e-17,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_color_contrast,0.05,5.551115123125783e-15,-5.551115123125783e-15,0.848046875,0.3833478258812648,-1.1102230246251565e-16,0.0,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_color_contrast,0.1,5.551115123125783e-15,-5.551115123125783e-15,0.848046875,0.3833478258812647,-1.1102230246251565e-16,-1.1102230246251565e-16,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_label_noise,0.02,-0.019531250000009992,0.3561714293969953,0.84765625,0.3904712544692048,-0.0003906250000000888,0.007123428587939962,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_label_noise,0.05,-0.019531250000009992,0.3561714293969953,0.8470703124999999,0.40115639735111475,-0.000976562500000222,0.017808571469849932,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
CORAL,11,source_label_noise,0.1,-0.019531250000009992,0.3561714293969953,0.8460937500000001,0.4189649688209647,-0.001953125,0.035617142939699864,0.8480468750000001,0.3833478258812648,0.1076999977231025,True
IRMv1,11,source_color_common,0.02,-0.006905339660029375,0.02326868104864377,0.6346275182067996,0.6407550916734818,-0.00013810679320047647,0.0004653736209728754,0.6347656250000001,0.6402897180525089,0.663100004196167,True
IRMv1,11,source_color_common,0.05,-0.006905339660029375,0.02326868104864377,0.6344203580169987,0.6414531521049409,-0.00034526698300141323,0.001163434052432022,0.6347656250000001,0.6402897180525089,0.663100004196167,True
IRMv1,11,source_color_common,0.1,-0.006905339660029375,0.02326868104864377,0.6340750910339976,0.6426165861573733,-0.0006905339660024934,0.002326868104864377,0.6347656250000001,0.6402897180525089,0.663100004196167,True
IRMv1,11,source_color_contrast,0.02,1.1102230246251565e-14,0.0,0.634765625,0.6402897180525088,-1.1102230246251565e-16,-1.1102230246251565e-16,0.6347656250000001,0.6402897180525089,0.663100004196167,True
IRMv1,11,source_color_contrast,0.05,1.1102230246251565e-14,0.0,0.6347656250000001,0.6402897180525088,0.0,-1.1102230246251565e-16,0.6347656250000001,0.6402897180525089,0.663100004196167,True
IRMv1,11,source_color_contrast,0.1,1.1102230246251565e-14,0.0,0.634765625,0.6402897180525088,-1.1102230246251565e-16,-1.1102230246251565e-16,0.6347656250000001,0.6402897180525089,0.663100004196167,True
IRMv1,11,source_label_noise,0.02,-0.5253906250000051,0.34518689205796926,0.6242578124999998,0.6471934558936683,-0.010507812500000324,0.006903737841159385,0.6347656250000001,0.6402897180525089,0.663100004196167,True
IRMv1,11,source_label_noise,0.05,-0.5253906250000051,0.34518689205796926,0.60849609375,0.6575490626554075,-0.02626953125000009,0.017259344602898574,0.6347656250000001,0.6402897180525089,0.663100004196167,True
