method,seed,semantic_direction,horizon,finite_alpha,logical_checkpoint,legacy_checkpoint_key,state_gate_pass,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,A_norm,O_norm,R_norm,A_rank,O_rank,G_0_0,G_0_1,G_0_2,G_1_0,G_1_1,G_1_2,G_2_0,G_2_1,G_2_2
ERM,12,source_env1_color,20,0.1,300,299,True,14.238375663757324,8.487104415893555,11.400022506713867,0.8601799607276917,1.384800477081788,1.0754472125507668,144.57952880859375,5,3,,,,20805.71484375,20903.240234375,3125.225341796875,,,
ERM,12,source_label_noise,20,0.1,300,299,True,13.930696487426758,7.188575267791748,10.08419418334961,6.37947416305542,1.3758371755064052,0.20023057522181315,154.27406311035156,5,3,,,,,,,2703.578125,3125.225341796875,23800.484375
CORAL,12,source_env0_color,20,0.1,300,299,True,14.289674758911133,8.46518611907959,11.477202415466309,0.8995837569236755,1.3707879163232866,1.0496794777205443,145.4859619140625,5,3,21166.169921875,21126.154296875,2970.23583984375,,,,,,
CORAL,12,source_env1_color,20,0.1,300,299,True,14.19011402130127,8.466081619262695,11.353110313415527,0.8897891044616699,1.384300398523527,1.0479135583817627,145.5155487060547,5,3,,,,21126.154296875,21174.7734375,3419.385986328125,,,
CORAL,12,source_label_noise,20,0.1,300,299,True,14.095725059509277,7.309418201446533,10.20468807220459,6.412975788116455,1.3780987916360214,0.19793695701397573,156.4190216064453,5,3,,,,,,,2970.23583984375,3419.385986328125,24466.912109375
IRMv1,12,source_env0_color,20,0.1,300,299,True,1.9224750995635986,1.1138514280319214,1.3175464868545532,0.8481258153915405,0.9737180136302912,0.8631014353178164,10.29416561126709,5,3,105.9698486328125,-24.285371780395508,346.1490478515625,,,,,,
IRMv1,12,source_env1_color,20,0.1,300,299,True,2.3262240886688232,1.4818657636642456,1.788718819618225,0.12600170075893402,0.9562597603026686,0.8505052034936625,26.238136291503906,5,3,,,,-24.285371780395508,688.4397583007812,1588.0203857421875,,,
IRMv1,12,source_label_noise,20,0.1,300,299,True,5.6554059982299805,3.22393798828125,4.535331726074219,1.010251522064209,1.626916971365504,0.5498835622113591,73.25308227539062,5,3,,,,,,,346.1490478515625,1588.0203857421875,5366.01220703125
VREX,12,source_env0_color,20,0.1,300,299,True,0.5902665257453918,0.35245758295059204,0.44109347462654114,0.17211848497390747,0.9899893463667802,0.6739245218836156,9.380871772766113,5,3,88.00074768066406,-83.66671752929688,14.335931777954102,,,,,,
VREX,12,source_env1_color,20,0.1,300,299,True,1.5450819730758667,0.9462246298789978,1.2123667001724243,0.14867359399795532,0.9806377673201282,0.6754805129135684,8.941872596740723,5,3,,,,-83.66671752929688,79.95703887939453,-15.090527534484863,,,
VREX,12,source_label_noise,20,0.1,300,299,True,0.2969786822795868,0.17588014900684357,0.22750458121299744,0.07419010251760483,1.356815687362336,0.19342029369026156,3.259477376937866,5,3,,,,,,,14.335931777954102,-15.090527534484863,10.624191284179688
FISHR,12,source_env0_color,20,0.1,300,299,True,0.43651825189590454,0.26414754986763,0.33867889642715454,0.07791584730148315,0.9718854517680827,0.17211637648613326,20.677518844604492,5,3,427.55987548828125,-370.66082763671875,26.708858489990234,,,,,,
FISHR,12,source_env1_color,20,0.1,300,299,True,1.0926601886749268,0.6289816498756409,0.8782333135604858,0.16430021822452545,0.9632286553534488,0.16991345283219236,17.935461044311523,5,3,,,,-370.66082763671875,321.6806945800781,-23.469850540161133,,,
FISHR,12,source_label_noise,20,0.1,300,299,True,0.17755351960659027,0.11688219755887985,0.12884016335010529,0.03555299714207649,1.328169905463899,0.11541290284808713,1.5958212614059448,5,3,,,,,,,26.708858489990234,-23.469850540161133,2.546644926071167
ERM,13,source_env0_color,20,0.1,300,299,True,13.829605102539062,8.357172966003418,10.923327445983887,1.4479479789733887,1.3824243261414029,1.100147902078374,139.84335327148438,5,3,19556.16796875,20252.607421875,3482.029541015625,,,,,,
ERM,13,source_env1_color,20,0.1,300,299,True,14.114686012268066,8.488707542419434,11.172405242919922,1.530877947807312,1.3745660391488843,1.1024555541692707,145.06857299804688,5,3,,,,20252.607421875,21044.89453125,3726.9951171875,,,
ERM,13,source_label_noise,20,0.1,300,299,True,12.787505149841309,6.86375093460083,8.860090255737305,6.156943321228027,1.3628592406161604,0.2047769800006572,142.05865478515625,5,3,,,,,,,3482.029541015625,3726.9951171875,20180.662109375
CORAL,13,source_env0_color,20,0.1,300,299,True,13.69615650177002,8.219996452331543,10.832747459411621,1.6333856582641602,1.3846885403283375,1.0839624110571426,138.9037322998047,5,3,19294.244140625,19956.953125,3365.19482421875,,,,,,
CORAL,13,source_env1_color,20,0.1,300,299,True,14.006814956665039,8.368081092834473,11.095232963562012,1.7498072385787964,1.3775540932316064,1.0867291229143985,143.90489196777344,5,3,,,,19956.953125,20708.619140625,3614.840576171875,,,
CORAL,13,source_label_noise,20,0.1,300,299,True,12.942928314208984,6.9538397789001465,9.009384155273438,6.16396951675415,1.3680817009711517,0.2045834541739209,143.5842742919922,5,3,,,,,,,3365.19482421875,3614.840576171875,20616.447265625
IRMv1,13,source_env0_color,20,0.1,300,299,True,0.6514371037483215,0.3826935589313507,0.4898572564125061,0.19482232630252838,0.9614463694461256,0.9877857745412487,2.4089014530181885,5,3,5.802806377410889,7.316559791564941,147.1848907470703,,,,,,
IRMv1,13,source_env1_color,20,0.1,300,299,True,0.7599716782569885,0.47529715299606323,0.589735746383667,0.0621400848031044,0.9488918850917032,0.9730836448614495,3.6324357986450195,5,3,,,,7.316559791564941,13.19459056854248,164.86305236816406,,,
IRMv1,13,source_label_noise,20,0.1,300,299,True,7.1369452476501465,4.372583866119385,5.486996173858643,1.3074277639389038,1.6064455501674018,0.5316831480706377,62.65677261352539,5,3,,,,,,,147.1848907470703,164.86305236816406,3925.87255859375
VREX,13,source_env0_color,20,0.1,300,299,True,0.3867762088775635,0.2334606945514679,0.29434075951576233,0.09195343405008316,0.9940555338245741,0.6162302119976866,3.57631778717041,5,3,12.790047645568848,-13.008795738220215,-1.3031806945800781,,,,,,
VREX,13,source_env1_color,20,0.1,300,299,True,1.3213964700698853,0.8190017938613892,1.022269368171692,0.174041286110878,0.9836787577687331,0.610714899578012,3.642983913421631,5,3,,,,-13.008795738220215,13.271332740783691,1.2809919118881226,,,
VREX,13,source_label_noise,20,0.1,300,299,True,0.06462012976408005,0.03800814226269722,0.05011237412691116,0.014828790910542011,1.3748128911416433,0.1763082491545394,0.7332109808921814,5,3,,,,,,,-1.3031806945800781,1.2809919118881226,0.5375983715057373
FISHR,13,source_env0_color,20,0.1,300,299,True,0.2688344120979309,0.1722874790430069,0.20508064329624176,0.02304111048579216,0.9600443126502844,0.1623180495724702,7.609238624572754,5,3,57.90049743652344,-43.74043273925781,9.180159568786621,,,,,,
FISHR,13,source_env1_color,20,0.1,300,299,True,0.1835060566663742,0.11101213097572327,0.14421643316745758,0.023503314703702927,0.9595476470109673,0.1617444284982396,5.7600626945495605,5,3,,,,-43.74043273925781,33.17832565307617,-6.9272141456604,,,
FISHR,13,source_label_noise,20,0.1,300,299,True,0.13826079666614532,0.09348534792661667,0.10020990669727325,0.018289633095264435,1.3179203424863266,0.11355359743801996,1.3358339071273804,5,3,,,,,,,9.180159568786621,-6.9272141456604,1.7844512462615967
ERM,14,source_env0_color,20,0.1,300,299,True,12.183111190795898,7.207820892333984,9.743703842163086,1.2392566204071045,1.3605611504513142,1.049003973769155,125.98395538330078,5,3,15871.9580078125,16076.748046875,2084.36767578125,,,,,,
ERM,14,source_env1_color,20,0.1,300,299,True,12.269474983215332,7.276866912841797,9.797606468200684,1.2626192569732666,1.3722025920138203,1.064185789364023,127.89655303955078,5,3,,,,16076.748046875,16357.525390625,2111.06787109375,,,
ERM,14,source_label_noise,20,0.1,300,299,True,13.164093971252441,7.407901763916016,9.311159133911133,5.631936550140381,1.4140707794685956,0.1788396225224486,144.21160888671875,5,3,,,,,,,2084.36767578125,2111.06787109375,20796.99609375
CORAL,14,source_env0_color,20,0.1,300,299,True,11.694770812988281,6.951840400695801,9.34261703491211,1.0747276544570923,1.3651733960243386,1.021514043143609,120.75521850585938,5,3,14581.826171875,14674.990234375,1754.181396484375,,,,,,
